id,room,education,nationality,occupation,cause,hometown,record
6870,6,41,1,99,06012500,210100,181
4479,10,70,1,99,05010300,220183,39
6323,9,70,1,99,06090300,350824,155
5581,8,20,1,3,03041100,420321,105
5524,6,70,1,99,06014504,310000,211
7443,13,30,1,99,06013600,230100,49
7476,15,30,1,9,05010300,520100,148
7385,15,79,1,99,03070200,341881,60
6614,2,41,1,99,06090500,330281,167
5731,3,30,1,9,03041100,360400,128
6204,3,70,1,99,05010300,361000,8
6879,8,20,5,99,06070102,653001,131
6326,8,20,1,99,06060704,620723,40
6448,9,70,1,9,06090500,320900,53
5586,7,10,1,99,03041100,511724,208
6445,8,70,1,99,05010300,340223,77
7219,5,80,1,9,06021400,445122,10
7383,13,41,1,99,03070200,330329,60
7336,12,89,1,99,03070200,450981,88
7381,13,61,1,99,03070200,330302,60
5359,6,71,1,99,05010300,210682,98
7197,11,30,1,2,02014700,310101,151
7213,6,71,1,99,03070200,412722,68
7214,12,60,1,9,03070200,411381,68
7367,12,30,1,9,03041100,621100,195
3304,10,31,1,9,05010300,310101,144
3444,7,30,1,3,05010300,421181,233
6933,15,70,1,9,03041100,362421,235
7437,15,30,1,99,06010100,421100,207
4272,0,70,1,3,05010300,341225,216
4240,0,89,1,3,05010300,360000,163
6780,1,30,1,2,03021201,310115,169
6732,6,70,1,9,06090105,130131,113
7038,5,20,1,2,03041100,310112,234
4333,6,81,1,99,03020000,340421,232
7386,13,79,1,99,03070200,421300,60
5340,10,89,1,9,03080400,330226,231
6808,11,70,1,99,06090500,440700,204
4418,10,10,1,99,03050100,310000,153
5645,6,20,1,99,03041100,341300,165
5734,5,30,1,99,06012400,110108,13
5745,2,20,1,99,05010300,320200,227
5542,8,41,1,9,06015200,230700,112
2111,4,31,1,3,03080000,350624,35
4351,4,30,1,99,05010300,320000,94
2083,6,39,22,9,03041100,350921,37
5791,2,11,1,9,03031000,310104,237
4239,3,30,1,3,03080400,140000,102
5145,4,48,37,99,05010300,522200,129
4276,4,60,12,3,05010300,431281,216
4244,4,69,1,3,05010300,340300,163
5144,10,11,1,99,03031000,510100,245
4837,4,20,1,9,03070200,510000,74
5662,6,70,1,99,06012400,131082,13
