id,room,education,nationality,occupation,cause,hometown,record
7124,27,70,1,99,03070200,433127,630
6329,12,40,1,99,05010300,350122,726
7481,32,70,1,99,06013600,340000,783
6173,21,80,1,99,04010900,511303,687
6692,14,80,1,9,06013600,341521,831
7258,36,70,1,99,06012400,430424,614
6725,27,70,1,99,05010200,341502,171
7023,13,70,1,99,05010300,310226,752
6160,9,90,1,99,04010600,341322,788
7452,42,70,1,99,05010200,370481,162
7453,42,70,1,99,06070102,361002,252
6406,18,20,1,99,05010700,310116,339
7576,34,30,1,99,03070200,341421,346
7079,18,89,1,99,04010901,341522,79
7607,30,80,8,99,03070100,451224,521
6554,6,70,1,99,06015300,340421,405
7290,31,30,1,99,06012500,350725,238
7291,23,21,1,3,05010200,340200,372
6890,39,70,1,99,06015300,360103,310
7327,41,60,1,99,03080600,320900,549
7346,38,31,1,99,03080600,320903,549
6866,29,70,1,99,06015300,310120,855
6703,36,70,1,99,03080600,341221,167
6360,1,80,1,99,03070301,440900,476
7344,43,38,1,99,03080600,360922,549
7606,30,71,1,99,06015300,310120,371
7565,32,30,1,99,06015300,310120,605
2386,6,70,1,99,06015200,310000,853
6796,24,80,1,99,04010100,331024,867
6894,33,80,1,99,05011000,411527,729
7446,28,90,1,99,06021401,340421,482
7480,32,70,1,99,05010200,340000,373
7554,28,71,1,99,06021400,430424,127
6708,4,60,1,99,06013600,340200,791
5853,6,30,1,7,05010200,140823,33
2109,1,80,7,9,06013500,513401,785
7377,38,70,1,99,06010100,360124,321
7390,34,60,1,99,03080300,341400,494
6999,39,70,1,99,05010300,360430,794
6445,15,80,1,9,06080303,411527,234
7447,42,80,1,99,05010200,411122,644
6918,39,31,1,99,06070102,361021,177
7391,41,70,1,99,03080300,310110,494
5213,2,71,1,99,05010300,350628,443
6902,7,60,1,99,05010300,522626,866
7340,36,30,1,3,03080600,330327,547
6024,25,70,1,99,05010200,310120,22
6635,31,51,1,10,06010100,430224,671
7293,36,80,1,99,05010200,310120,168
7393,36,30,1,99,03080300,310120,781
4587,9,90,1,99,05010300,310120,450
228,13,70,1,9,06011900,360733,664
7171,23,70,1,99,04010600,510723,536
7353,43,70,1,99,04010600,310120,499
7350,36,30,1,99,03080600,420923,547
7387,34,70,12,99,06012500,522631,63
7489,32,70,1,99,05010300,411600,422
7475,26,80,1,99,05010200,522729,606
7277,41,70,1,99,06015300,340826,553
6361,18,80,1,9,03070301,411624,476
